Time End;Sexo;País;En caso de ser Español, ¿cuál  es su provincia de procedencia?;Con quién viaja (sólo una opción);Duración de la estancia en Madrid;Con quién viaja (sólo una opción) - Observaciones;Número de informadores turísticos que están atendiendo;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio? - Observaciones;Oferta de idiomas;Satisfacción con la información facilitada sobre Visitas Guiadas;Observaciones;¿Cómo ha localizado los SAIT?;¿Cuál es el motivo de su visita a la Ciudad de Madrid? - Observaciones;Trato y amabilidad;Conocimiento del idioma utilizado por parte del personal;Satisfacción con la información facilitada;Utilidad de la información facilitada;Tiempo de espera para ser atendido;Orden y limpieza;Localización de las instalaciones;¿Cuál es su nivel global de satisfacción con el Servicio de Atención e Información Turística?;Horario de atención al público;¿Volvería a utilizar este servicio?;Mobiliario (sólo Centros de Turismo);Iluminación (sólo Centros de Turismo);Contenido de los folletos;¿ En qué medio de transporte ha llegado a Madrid? - Observaciones;Plano de la ciudad;¿Ha buscado información sobre la ciudad de Madrid antes de venir? ¿A través de qué medio?;Ruido ambiental;Disponibilidad de folletos en el idioma del usuario;Edad;¿Cómo ha localizado los SAIT? - Observaciones;¿Cuál es el motivo de su visita a la Ciudad de Madrid?;Claridad del lenguaje utilizado;Adecuación de los folletos a la información solicitada;Distribución del espacio (sólo Centros de Turismo;Satisfacción con el Horario de atención al público;¿Qué instalaciones del Servicio de Atención e Información Turística ha visitado? (Seleccione todas las opciones que correspondan);¿ En qué medio de transporte ha llegado a Madrid?;Aspecto del personal de atención (vestimenta, aseo, identificación);Señalización informativa
13/03/2023;Mujer;Francia;;En pareja;3 noches;;10;web esmadrid.com;10;NS/NC;Afirman que hay demasiada iluminación en la zona de los mostradores y les gustaría que hubiera más bancos para sentarse.;Tenía información previa de su ubicación;;8;7;9;9;10;10;10;10;10;Sí;4;4;10;;8;Internet/web (Indicar páginas);10;10;45-64;esmadrid.com;Ocio, recreo y vacaciones;8;10;5;10;Centro de Turismo de la Plaza Mayor;Avión;NS/NC;5
13/03/2023;Hombre;Irlanda;;Sólo;De 4 a 7 noches;;10;instagram;10;NS/NC;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;9;7;10;;10;Otros (Indicar);10;10;25-44;;Ocio, recreo y vacaciones;10;10;8;10;PIT del Aeropuerto T-4;Avión;10;8
13/03/2023;Mujer;Francia;;En pareja;3 noches;;5;www.tripadvisor.com;8;7;El uniforme de los informadores debería ser más profesional o no llevar uniforme. La turista hace referencia a que el uniforme actual le parece una mezcla extraña.;Los ha encontrado en su recorrido;;10;9;10;10;3;9;9;6;10;Sí;9;4;1;;10;Internet/web (Indicar páginas);1;1;15-24;;Cultura;9;1;7;10;Centro de Turismo de la Plaza Mayor;Avión;6;5
13/03/2023;Mujer;Estados Unidos;;Sólo;Excursionista;;10;;10;10;"Le ha encantado nuestras instalaciones además de la información proporcionada aunque le ha resultado sorprendente, en sus palabras, nuestro aspecto de ""walmart guys"", por la uniformidad que a su modo de ver, infravalora nuestro físico.";Los ha encontrado en su recorrido;;10;10;8;8;10;10;10;10;10;Sí;10;10;7;;9;No ha buscado información;10;10;45-64;;Negocios;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;4;10
13/03/2023;Mujer;Argentina;;En pareja;De 3 meses a 1 año;;NS/NC;blogs varios;NS/NC;NS/NC;;Tenía información previa de su ubicación;;10;10;NS/NC;NS/NC;NS/NC;10;NS/NC;9;NS/NC;Sí;10;10;NS/NC;;10;Guías turísticas publicadas sobre la ciudad;10;10;25-44;le informaron en PIT Bernabéu;Ocio, recreo y vacaciones;10;NS/NC;10;9;PIT de Estadio Santiago Bernabéu;Avión;NS/NC;10
13/03/2023;Hombre;Venezuela;;Sólo;De 1 a 2 semanas;;10;;10;10;;Los ha encontrado en su recorrido;;7;8;10;10;10;8;10;10;10;Sí;10;8;10;;10;No ha buscado información;6;10;45-64;;Congresos, convenciones e incentivos;10;10;10;10;Centro de Turismo de la Plaza Mayor;Avión;10;7
13/03/2023;Mujer;España;Barcelona;Sólo;3 noches;;10;agencia de su empresa;10;10;;Los había visto anteriormente;;10;10;10;10;10;10;10;10;10;Sí;10;10;10;;10;Otros (Indicar);10;10;45-64;;Congresos, convenciones e incentivos;10;10;10;10;Centro de Turismo de la Plaza Mayor;Tren;10;10
13/03/2023;Hombre;Austria;;En pareja;3 noches;;5;Blog de viajes;9;5;;Los ha encontrado en su recorrido;;10;10;10;10;5;10;9;8;10;Sí;8;7;4;;10;Internet/web (Indicar páginas);5;1;25-44;;Ocio, recreo y vacaciones;10;3;6;10;Centro de Turismo de la Plaza Mayor;Avión;4;5
13/03/2023;Hombre;Polonia;;Sólo;3 noches;;9;webs turismo;9;NS/NC;;Los ha encontrado en su recorrido;;10;9;9;9;10;9;9;10;9;Sí;NS/NC;8;NS/NC;;9;Internet/web (Indicar páginas);NS/NC;9;25-44;;Ocio, recreo y vacaciones;9;10;NS/NC;9;PIT Palacio Real;Avión;10;NS/NC
13/03/2023;Hombre;España;Málaga;Sólo;3 noches;;10;;9;10;;Los ha encontrado en su recorrido;;10;10;9;9;10;6;9;9;9;Sí;9;9;9;;9;No ha buscado información;7;9;25-44;;Ocio, recreo y vacaciones;9;9;8;9;PIT de Callao;Tren;9;8
